id,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
3135,17,126,109,15/14to14/14,12/9to13/9,15/14to14/14:14/14to13/14:13/14to12/14:12/14to12/13:12/13to12/12:12/12to12/11:12/11to12/10:12/10to12/9:12/9to13/9:,9,False,True
1494,17,172,155,1/10to1/9,3/0to4/0,1/10to1/9:1/9to1/8:1/8to1/7:1/7to1/6:1/6to1/5:1/5to1/4:1/4to1/3:1/3to1/2:1/2to1/1:1/1to1/0:1/0to2/0:2/0to3/0:3/0to4/0:,13,True,True
175,17,400,383,left0to0/0,15/15totop15,left0to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,False,True
2420,17,222,205,2/7to3/7,12/12to12/11,2/7to3/7:3/7to4/7:4/7to5/7:5/7to6/7:6/7to7/7:7/7to8/7:8/7to9/7:9/7to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to11/12:11/12to12/12:12/12to12/11:,16,False,True
919,18,99,81,4/8to4/9,5/13to6/13,4/8to4/9:4/9to4/10:4/10to4/11:4/11to4/12:4/12to4/13:4/13to5/13:5/13to6/13:,7,False,True
10,18,389,371,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
75,18,392,374,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
838,18,117,99,9/11to10/11,13/14to14/14,9/11to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to11/14:11/14to12/14:12/14to13/14:13/14to14/14:,8,False,True
2164,19,213,194,12/10to11/10,3/8to4/8,12/10to11/10:11/10to10/10:10/10to9/10:9/10to8/10:8/10to7/10:7/10to6/10:6/10to5/10:5/10to4/10:4/10to3/10:3/10to3/9:3/9to3/8:3/8to4/8:,12,True,True
3197,19,76,57,7/9to6/9,6/12to7/12,7/9to6/9:6/9to6/10:6/10to6/11:6/11to6/12:6/12to7/12:,5,True,True
2563,19,249,230,top8to8/15,1/4to1/3,top8to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to1/14:1/14to1/13:1/13to1/12:1/12to1/11:1/11to1/10:1/10to1/9:1/9to1/8:1/8to1/7:1/7to1/6:1/6to1/5:1/5to1/4:1/4to1/3:,20,False,True
3245,20,126,106,4/6to5/6,12/6to12/5,4/6to5/6:5/6to6/6:6/6to7/6:7/6to8/6:8/6to9/6:9/6to10/6:10/6to11/6:11/6to12/6:12/6to12/5:,9,False,True
2471,20,125,105,3/15to3/14,9/14to10/14,3/15to3/14:3/14to4/14:4/14to5/14:5/14to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:,8,False,True
767,20,299,279,5/0to5/1,13/14to13/15,5/0to5/1:5/1to5/2:5/2to5/3:5/3to5/4:5/4to5/5:5/5to5/6:5/6to5/7:5/7to5/8:5/8to5/9:5/9to5/10:5/10to5/11:5/11to5/12:5/12to5/13:5/13to5/14:5/14to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:10/14to11/14:11/14to12/14:12/14to13/14:13/14to13/15:,23,True,True
2916,20,330,310,14/14to14/13,2/2to2/1,14/14to14/13:14/13to13/13:13/13to12/13:12/13to11/13:11/13to10/13:10/13to9/13:9/13to8/13:8/13to7/13:7/13to6/13:6/13to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to2/12:2/12to2/11:2/11to2/10:2/10to2/9:2/9to2/8:2/8to2/7:2/7to2/6:2/6to2/5:2/5to2/4:2/4to2/3:2/3to2/2:2/2to2/1:,25,False,True
1130,21,44,23,6/8to7/8,7/8to7/9,6/8to7/8:7/8to7/9:,2,False,True
2669,21,202,181,13/11to12/11,4/7to3/7,13/11to12/11:12/11to11/11:11/11to10/11:10/11to9/11:9/11to8/11:8/11to7/11:7/11to6/11:6/11to5/11:5/11to4/11:4/11to4/10:4/10to4/9:4/9to4/8:4/8to4/7:4/7to3/7:,14,False,True
2137,21,139,118,12/2to11/2,6/4to5/4,12/2to11/2:11/2to10/2:10/2to9/2:9/2to8/2:8/2to7/2:7/2to6/2:6/2to6/3:6/3to6/4:6/4to5/4:,9,False,True
3163,22,154,132,3/5to3/6,9/8to9/9,3/5to3/6:3/6to3/7:3/7to3/8:3/8to4/8:4/8to5/8:5/8to6/8:6/8to7/8:7/8to8/8:8/8to9/8:9/8to9/9:,10,False,True
119,22,408,386,left0to0/0,15/15totop15,left0to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,False,True
320,23,394,371,right0to15/0,0/15totop0,right0to15/0:15/0to14/0:14/0to13/0:13/0to12/0:12/0to11/0:11/0to10/0:10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to0/15:0/15totop0:,32,True,True
